Rank,Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,Lambda_a,Lambda_b,N_Tilings,S_Intervals,AlgScore,SP95LB,Mean Max EETDR,Max 95ME,Mean Time-Avg EETDR,Time-Avg 95ME,Wallclock
1.0,53.0,0.875,0.275,0.385,0.385,0.955,0.845,0.745,0.835,0.205,100.66603113709276,204.0532019900522,197.58226953099583,17.912630991507484,-7.931323560785954,9.908056405714653,612.6138603040017
2.0,5.0,0.425,0.075,0.265,0.365,0.225,0.115,0.385,0.725,0.165,62.84552733348248,169.64843925669493,164.63324396724465,22.5880699073737,-36.90425962673706,19.04968312936317,1400.4776723280083
3.0,29.0,0.785,0.155,0.925,0.515,0.065,0.015,0.185,0.505,0.485,18.754581912649357,108.84163614801119,127.73827248289054,15.253427626771579,-112.77770721079108,9.06310529176395,1135.3661694659968
4.0,56.0,0.39997690703939204,0.23589803632348733,0.8708584071389314,0.8063525985035572,0.41439815943244873,0.6161819549167036,0.8388868092641389,0.5890003736581619,0.045633997695340045,-37.36788403876424,28.849948305407143,24.57458422516143,19.462334273207183,-91.03673869946803,10.051346325373922,345.2178477809939
5.0,19.0,0.975,0.505,0.395,0.745,0.385,0.785,0.845,0.515,0.255,-54.46358603703132,35.39920774891034,34.19386572767747,20.923378577022707,-143.03340574081076,13.03129007774966,889.0541208950017
6.0,95.0,0.665,0.015,0.075,0.165,0.055,0.835,0.625,0.575,0.345,-59.674454807978044,129.1312161688076,36.44550714798695,47.242002443725085,-115.84551927091267,17.145874805425237,761.2403056699986
7.0,14.0,0.815,0.415,0.335,0.205,0.005,0.245,0.955,0.465,0.365,-67.36492008672978,-2.5240094736549885,33.393035522130226,23.95343038113368,-170.02025980057553,12.551448127743758,596.7296608110046
8.0,41.0,0.405,0.335,0.205,0.005,0.455,0.885,0.275,0.935,0.105,-69.86359686190323,14.87525254873746,8.509784644502805,19.829186978097688,-140.4687517260174,17.211136928348377,793.8032218649896
9.0,77.0,0.885,0.625,0.445,0.705,0.675,0.795,0.915,0.125,0.175,-79.145817124066,-12.203656730713966,-26.352442355283365,19.91664738401797,-119.03956867344316,9.421339527769822,397.28296315799525
10.0,74.0,0.305,0.005,0.895,0.115,0.805,0.855,0.565,0.765,0.235,-97.91015869614023,-25.691738172260322,-33.42163098614847,12.830494492690825,-166.77243522377,8.624773298321626,259.43191449799633
